filename,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
2074849_no_solvent,4.609519204,-1.238598991,2.89206461,2.088774538,3.637113714,-2.844992158,2.96808823,-0.929739464,0.605303146,-0.237948208,-0.883906899,0.16534287,0.186739354,1.168551123,2.77564273,2.344548248,1.12808123,0.647459698,1.530532761,0.517739248,-0.567489915,-0.782029555,1.465511637,-1.030185186,0.996314799,0.241259079,0.167260024,-0.46606548,0.485053333,0.57532345,0.424734627,0.658314182,1.083199854,-0.191260777,0.668302255,0.157067292,0.418377773,-0.51377518,-0.112838513,-0.858839417,-0.17557284,-0.384200996,-0.036814798,-0.33365598,0.336169995,-0.107134863,-0.175221037,0.17687437,-0.250154589,0.391192238,0.088656561,0.00030377,0.059146437,-0.448084587,0.12843384,0.157725579,-0.016672427,-0.164471252,-0.075522984,-0.023953205
2104369_no_solvent,-4.150856076,-1.353519236,1.983690767,1.5644797,-1.757609314,-0.318237865,1.247327131,-0.440004856,0.875210024,-0.017113641,-0.377613389,1.770502475,0.583287286,-0.746101304,-0.395412013,-0.541608311,0.754369567,-0.00244378,0.531951303,0.169881733,0.636739528,0.385106847,-0.117112623,-0.11540927,-0.186522568,-0.299904748,-0.348474074,-0.164098492,-0.56031102,-0.556254861,0.254667932,0.331385588,-0.021492781,-0.027887355,-0.001712625,0.173887566,-0.269586176,-0.185419492,0.004446069,-0.213769909,-0.295688142,-0.05766999,0.117704697,-0.104929324,0.166018999,-0.135230686,0.108162925,0.046032679,-0.196530249,0.17936235,-0.055348213,-0.028380854,-0.10407864,0.015393239,0.048133913,0.007700153,0.014001609,0.03422789,-0.038743782,-0.031189595
2168434_no_solvent,-2.980374045,0.171694856,2.564917131,-0.029004948,-0.198889653,-0.811175661,1.641573603,-1.606957601,-1.500132042,1.415087337,1.237229444,-0.368512612,-2.149364813,-1.663322179,0.199987955,-1.41856553,0.589580202,-0.065146989,-0.383866849,-0.053766986,0.032000256,0.403339997,-0.203465807,-0.661348994,0.286141447,-0.976304554,-0.080519468,-0.043773529,0.106686434,-0.110286825,0.273307779,0.240502307,0.110675762,0.10724664,-0.118945427,0.327564851,-0.064894774,-0.312873681,-0.314869449,0.374017771,-0.742403416,-0.279193238,-0.119326751,-0.211308336,0.214379961,-0.071693998,-0.155399764,0.01042326,0.108582143,-0.022671791,0.118181203,-0.041808348,-0.105265845,0.039538698,-0.075777616,-0.0969341,0.162423703,0.034270558,-0.179528422,0.075233469
2168435_no_solvent,-2.477185752,-0.429984687,4.479653398,0.003562538,-0.402555258,0.61843637,1.743410226,-2.127314603,-1.17327834,0.587718977,0.780640899,0.219481061,-1.870120556,-2.352603289,-0.225205154,-1.093098864,0.747477548,0.101483076,-0.584973058,-0.897575088,-0.447083254,0.682953432,-0.663031904,-0.899882841,0.185971632,-1.018309693,0.344746501,0.140096206,0.254674393,-0.409812819,0.535944165,0.775735454,0.218190264,-0.086741755,0.579773971,0.254250503,-0.152998898,-0.155947819,-0.302499674,0.217301505,-0.6978887,-0.54763974,-0.136848189,-0.468977811,0.535760955,-0.047998462,-0.274646211,0.183939412,-0.021361997,0.182269712,0.094922556,-0.077798392,-0.083705307,0.075429604,-0.265785246,-0.10165019,-0.076969016,-0.054307637,-0.205877004,0.084518029
745475_no_solvent,-4.341478283,-2.367004906,-3.734061398,1.851551754,-0.939368454,0.136010667,0.712123666,2.596051937,0.858579567,1.381091797,-3.836320645,-0.08161957,0.685083492,0.728840326,0.696128468,-0.935593318,-0.755404614,-0.187325548,-0.045630343,0.375367012,0.633754875,-0.745507968,0.258878027,0.100536096,0.146211491,-1.108585759,-0.541306591,-0.476150828,-0.451885836,-0.291163679,-0.098513861,-0.031548875,0.242171083,0.005836531,-0.054475433,-0.238535623,-0.149531279,0.459879816,-0.415263487,-0.756591518,-0.025429408,-0.324914936,0.111056378,-0.203140284,-0.239394069,-0.125081396,-0.36591504,0.312282979,0.25122127,-0.093613754,0.124243361,-0.106452767,0.321169384,0.451040811,0.134855842,-0.024247094,-0.00192352,0.093337871,-0.192387821,0.094798411
817665_no_solvent,-7.980881604,5.089773811,-10.40187256,4.12606885,-6.010929897,-4.388512059,-7.858498951,2.754557578,6.492124284,-4.948442948,-3.834971121,-1.698107571,-7.559047695,-2.664706992,-1.810628395,2.29055689,0.850836086,2.767778648,0.041481855,-3.01521688,-1.190835191,3.592873173,-1.681629273,1.624425616,2.764711885,-0.395055978,1.553885439,-0.772557323,-1.446869817,1.776702098,1.635440486,-1.082907369,0.982699716,-1.224537949,-0.053913332,-1.011466642,0.142255851,-0.760822221,0.43229651,0.264579587,0.412876673,-0.258613983,0.077594819,0.654308582,0.487087142,0.589452991,-0.140254381,-0.819341207,0.170965753,0.343386657,0.162123708,-0.230300637,-0.054019675,0.261248588,0.00926213,0.097391253,-0.129715254,-0.019842297,0.015818666,0.221594439
946147_no_solvent,5.691072692,5.580577923,2.344520988,-0.481353407,1.336722189,1.135029021,-1.920359637,-3.313548529,-2.99923153,-1.0202051,0.35606456,-0.732890845,0.103303872,0.025978641,-0.008212062,-0.217989038,-0.976629783,0.653999847,0.851400915,-0.613850682,-0.023166457,0.330340571,0.204951439,0.650246707,-0.839268022,-0.02587147,0.047389219,0.066542498,-0.517136122,-0.552985723,-1.13810986,0.502755562,0.049190576,-0.313922742,-0.027543339,0.663030803,1.126772968,-0.054337725,0.268747863,0.082345103,0.443557233,0.055278373,-0.529150891,0.17296335,0.687888331,-0.36812541,0.017638785,-0.4803417,0.04037887,0.2039191,-0.157277035,-0.016969123,0.293123847,0.044625793,0.172413918,0.125500508,0.243668237,-0.297718182,-0.142669244,-0.052899623
992002_no_solvent,-6.90496631,-2.007758437,-1.462418836,3.257115692,-3.665432375,-1.369352297,-1.023304174,1.86652751,4.547748828,-0.046181864,-3.665790468,-1.290709164,-1.316880475,0.063732154,0.742749243,0.215934501,-0.101007017,-0.323530266,0.97646117,-1.064216646,-0.753593216,-0.852338642,0.159047049,0.351550034,0.104231031,0.035512032,-0.04434758,0.074015928,-0.435169326,-0.861996137,-0.199288775,0.344588884,-0.40657167,0.11846635,-0.183897898,-0.321066911,-0.534242721,0.519744001,0.26439236,0.179836052,-0.063119762,-0.201484189,0.5154866,0.393120426,0.201672317,-0.461183268,-0.292384957,-0.206196459,-0.156094644,0.45493687,0.123295841,0.265356895,0.275752108,-0.018364585,0.416669313,-0.107359255,-0.195161778,-0.014376975,0.09749299,-0.010221529
Al(HCOO)3_no_solvent,-1.280638304,-6.968695113,2.258767141,1.243892124,1.339983734,-0.489503685,1.219714637,1.234053897,-1.455708941,1.23521399,1.864128747,2.531699998,2.470798565,0.226113884,-0.610222455,-0.256056101,0.321066828,1.012857166,-0.188847036,1.43390082,0.651860698,0.904654066,0.069989096,-0.731473423,-1.112676172,-0.307478743,0.561955402,0.101953569,-0.809281464,0.023883303,0.541249819,-0.380766401,-0.255745009,-0.177941047,0.016930608,-0.213837556,0.156361284,-0.529045252,0.103359489,-0.284556052,0.26007265,0.149639573,0.045649475,-0.125779083,0.006729054,-0.12331338,-0.009891485,-0.085871834,0.118876142,0.255685626,0.080136264,-0.279737085,-0.142155827,0.310385708,0.018462717,-0.289060734,-0.253585927,0.171775073,0.084425386,-0.062195954
Al(OH)(1-4-NDC)_no_solvent,-0.487334732,-6.720869355,3.540896765,2.892518224,0.713165828,-0.298307654,-0.246334812,0.421448431,0.405538975,0.671655377,-0.000701732,1.135618971,0.661037622,-0.812929757,-0.604516264,0.989448099,-0.499862096,1.138022492,0.117919648,0.396938011,-0.80499607,0.498011117,-0.079245969,-0.588429882,-0.742222113,-0.165471338,0.254241203,0.24695224,-0.208717482,-0.049214428,-0.05612883,-0.229955615,0.136473548,0.239971383,0.18160369,-0.259988515,0.039976067,-0.290191088,-0.071031723,-0.061187401,0.050311899,0.373636293,0.082170938,-0.416362491,0.216649357,-0.03756572,0.163362902,0.072118058,0.083403592,-0.046217056,0.006840343,-0.092167498,-0.116692138,0.0017856,-0.109656869,-0.023891215,-0.120569952,0.018442744,-0.054135898,-0.039342921
